Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
Kepler-69 c,non-habitable,0.0198,0.2272,0.1824,0.126,0.4446,0.8474,1,4.1756,95
Kepler-70  b,non-habitable,0.0012,0.2844,0.4461,0.2596,0.0087,0.8387,1,10.3249,99
Kepler-70 c,non-habitable,0.2361,0.1486,0.2586,0.1303,0.2264,0.9693,1,5.973,110
Kepler-78 b,non-habitable,0.1362,0.2484,0.4225,0.1901,0.0028,0.2159,1,2.5289,98
Kepler-80 b,non-habitable,0.2759,0.0711,0.3931,0.2118,0.0482,0.5002,1,1.8444,87
Kepler-80 c,non-habitable,0.2445,0.2481,0.0679,0.3453,0.0942,0.9882,1,1.4289,86
Kepler-80 d,non-habitable,0.2504,0.3098,0.3772,0.0373,0.0253,0.8553,1,2.3428,87
Kepler-80 e,non-habitable,0.1525,0.1558,0.2624,0.3916,0.0376,0.9182,1,1.7687,85
Kepler-80 f,non-habitable,0.0506,0.1594,0.3686,0.167,0.2545,0.8291,1,1.8583,102
Kepler-81 c,non-habitable,0.4372,0.0671,0.1356,0.3569,0.0032,0.1613,1,2.4819,91
Kepler-81 d,non-habitable,0.2799,0.1516,0.2584,0.2533,0.0568,0.9763,1,1.1752,82
Kepler-82 d,non-habitable,0.1501,0.2862,0.2868,0.2137,0.0633,0.4904,1,2.0082,85
Kepler-82 e,non-habitable,0.1756,0.2884,0.4234,0.1028,0.0098,0.9151,1,2.7035,93
Kepler-83 b,non-habitable,0.1575,0.0824,0.4756,0.2828,0.0017,0.74,1,2.1842,93
Kepler-83 c,non-habitable,0.0641,0.2507,0.2267,0.4062,0.0522,0.7699,1,1.6167,89
Kepler-83 d,non-habitable,0.3286,0.2094,0.2404,0.1965,0.0251,0.7461,1,1.8354,96
Kepler-84 b,non-habitable,0.1048,0.2032,0.3068,0.3376,0.0476,0.8816,1,2.4287,89
Kepler-84 c,non-habitable,0.2429,0.0329,0.2264,0.449,0.0487,0.8943,1,2.6714,86
Kepler-84 d,non-habitable,0.2691,0.0669,0.3652,0.0894,0.2095,0.9434,1,2.0607,97
Kepler-84 f,non-habitable,0.2442,0.0104,0.4676,0.2034,0.0743,0.8189,1,2.0013,90
Kepler-85 b,non-habitable,0.0079,0.3309,0.2411,0.3805,0.0398,0.8672,1,2.3711,78
Kepler-85 c,non-habitable,0.2396,0.1333,0.1428,0.4646,0.0197,0.9494,1,2.4919,83
Kepler-85 d,non-habitable,0.1015,0.1851,0.5243,0.1292,0.0599,0.7282,1,1.595,83
Kepler-85 e,non-habitable,0.1851,0.1128,0.3696,0.3234,0.009,0.1142,1,1.3601,90
Kepler-89 b,non-habitable,0.2913,0.1613,0.2953,0.2027,0.0494,0.9179,1,2.931,89
